Frage;Antwort;Fundstellen im IT-Grundschutz-Kompendium 2023
Welche Sicherheitsmaßnahmen sollte ich für RDP-Fernzugriff bei der Nutzung von Windows Servern umsetzen?;Planen Sie Firewall-Auswirkungen, definieren Sie berechtigte Gruppen und Systeme, nutzen Sie Schutzmechanismen wie Remote Credential Guard, setzen Sie RDP-Gateways in komplexen Infrastrukturen ein und prüfen Sie Komfortfunktionen auf Schutzbedarfkonformität. Deaktivieren Sie RDP vollständig, wenn nicht benötigt.;"SYS.1.2.3.A6 Sicherheit beim Fernzugriff über RDP (S) Die Auswirkungen auf die Konfiguration der lokalen Firewall SOLLTEN bei der Planung des Fernzugriffs berücksichtigt werden. Die Gruppe der Berechtigten und IT-Systeme für den RemoteDesktopzugriff (RDP) SOLLTE durch die Zuweisung entsprechender Berechtigungen festgelegt werden. Es SOLLTEN Mechanismen des Betriebssystems berücksichtigt werden, um die übertragenen Anmeldeinformationen zu schützen (z. B. Remote Credential Guard oder RestrictedAdmin). In komplexen Infrastrukturen SOLLTE das RDP-Zielsystem nur durch ein dazwischengeschaltetes RDPGateway erreicht werden können. Für die Verwendung von RDP SOLLTE eine Prüfung und deren Umsetzung sicherstellen, dass die nachfolgend aufgeführten Komfortfunktionen im Einklang mit dem Schutzbedarf des Zielsystems stehen:

• die Verwendung der Zwischenablage,

• die Einbindung von Wechselmedien und Netzlaufwerken sowie

• die Nutzung der Dateiablagen, von weiteren Geräten und Ressourcen, wie z. B. SmartcardLesegeräten.

Die eingesetzten kryptografischen Protokolle und Algorithmen SOLLTEN den internen Vorgaben der Institution entsprechen. Sofern der Einsatz von Remote-Desktopzugriffen nicht vorgesehen ist, SOLLTEN diese vollständig deaktiviert werden."
Welche Sicherheitsmaßnahmen werden zur Einrichtung eines RDP Zugriff auf Windows Server benötigt?;Bei der Planung des RDP-Fernzugriffs müssen die Auswirkungen auf die lokale Firewall berücksichtigt werden. Die Gruppe der Berechtigten sollte durch entsprechende Berechtigungszuweisungen festgelegt werden. Zum Schutz der Anmeldeinformationen sollten Mechanismen wie Remote Credential Guard oder RestrictedAdmin genutzt werden. In komplexen Infrastrukturen sollte der Zugriff nur über ein RDP-Gateway erfolgen. Komfortfunktionen wie Zwischenablage, Wechselmedien oder Netzlaufwerke sollten auf ihre Vereinbarkeit mit dem Schutzbedarf geprüft werden. Die eingesetzten kryptografischen Protokolle müssen den internen Vorgaben entsprechen. Nicht benötigte Remote-Desktop-Zugriffe sollten vollständig deaktiviert werden.;"SYS.1.2.3.A6 Sicherheit beim Fernzugriff über RDP (S) Die Auswirkungen auf die Konfiguration der lokalen Firewall SOLLTEN bei der Planung des Fernzugriffs berücksichtigt werden. Die Gruppe der Berechtigten und IT-Systeme für den RemoteDesktopzugriff (RDP) SOLLTE durch die Zuweisung entsprechender Berechtigungen festgelegt werden. Es SOLLTEN Mechanismen des Betriebssystems berücksichtigt werden, um die übertragenen Anmeldeinformationen zu schützen (z. B. Remote Credential Guard oder RestrictedAdmin). In komplexen Infrastrukturen SOLLTE das RDP-Zielsystem nur durch ein dazwischengeschaltetes RDPGateway erreicht werden können. Für die Verwendung von RDP SOLLTE eine Prüfung und deren Umsetzung sicherstellen, dass die nachfolgend aufgeführten Komfortfunktionen im Einklang mit dem Schutzbedarf des Zielsystems stehen:

• die Verwendung der Zwischenablage,

• die Einbindung von Wechselmedien und Netzlaufwerken sowie

• die Nutzung der Dateiablagen, von weiteren Geräten und Ressourcen, wie z. B. SmartcardLesegeräten.

Die eingesetzten kryptografischen Protokolle und Algorithmen SOLLTEN den internen Vorgaben der Institution entsprechen. Sofern der Einsatz von Remote-Desktopzugriffen nicht vorgesehen ist, SOLLTEN diese vollständig deaktiviert werden."
Was muss bei der Nutzung von Windows Servern zum Schutz von Schwachstellen beachtet werden?;Aktivieren Sie Maßnahmen zum Schutz vor Exploits für alle Programme und Dienste, die den Exploit-Schutz von Windows unterstützen. Microsoft bietet hierzu spezifische Konfigurationsmöglichkeiten.;SYS.1.2.3.A4 Schutz vor Ausnutzung von Schwachstellen in Anwendungen (S) Maßnahmen zum Schutz vor Exploits SOLLTEN für alle Programme und Dienste aktiviert werden, die den Exploit-Schutz von Windows (vgl. Verweis in Kapitel 4.1 Wissenswertes) unterstützen.
Wie wird Windows PowerShell verwendet?;Die PowerShell-Ausführung sollte zentral protokolliert und die erzeugten Protokolle geeignet überwacht werden. Um zu verhindern, dass unsignierte Skripte versehentlich ausgeführt werden, sollte die Ausführung von PowerShell-Skripten mit dem Befehl SetExecutionPolicy AllSigned eingeschränkt werden. Ältere PowerShell-Versionen sollten deaktiviert werden. Der Einsatz des PowerShell Constrained Language Mode sollte geprüft werden. Bei Windows Server sollte zur Einschränkung der PowerShell mithilfe von Just Enough Administration (JEA) eine rollenbasierte Administration implementiert werden;SYS.1.2.3.A7 Verwendung der Windows PowerShell (H) Die PowerShell-Ausführung SOLLTE zentral protokolliert werden. Die erzeugten Protokolle SOLLTEN geeignet überwacht werden. Die Ausführung von PowerShell-Skripten SOLLTE mit dem Befehl SetExecutionPolicy AllSigned eingeschränkt werden, um zu verhindern, dass unsignierte Skripte (versehentlich) ausgeführt werden. Ältere Windows PowerShell-Versionen SOLLTEN deaktiviert werden. Der Einsatz des PowerShell Constrained Language Mode SOLLTE geprüft werden. Zur Einschränkung der Windows PowerShell SOLLTE bei Windows Server mithilfe von Just Enough Administration (JEA) eine rollenbasierte Administration implementiert werden.
Was ist  bei der Aufstellung zentraler Speichersysteme zu beachten?;Die IT-Komponenten von Speicherlösungen müssen in verschlossenen Räumen aufgestellt werden, zu denen nur Berechtigte Zutritt haben dürfen. Eine sichere Stromversorgung muss sichergestellt sein. Die Vorgaben des Herstellers zur empfohlenen Umgebungstemperatur und Luftfeuchte müssen eingehalten werden.;SYS.1.8.A1 Geeignete Aufstellung von Speichersystemen (B) [Haustechnik] Die IT-Komponenten von Speicherlösungen MÜSSEN in verschlossenen Räumen aufgestellt werden. Zu diesen Räumen DÜRFEN NUR Berechtigte Zutritt haben. Zudem MUSS eine sichere Stromversorgung sichergestellt sein. Die Vorgaben des herstellenden Unternehmens zur empfohlenen Umgebungstemperatur und Luftfeuchte MÜSSEN eingehalten werden.
Was muss ich bei der Grundkonfiguration von Speicherlösungen beachten?;Vor dem produktiven Einsatz einer Speicherlösung muss sichergestellt sein, dass alle eingesetzten Softwarekomponenten und die Firmware aktuell sind. Anschließend muss eine sichere Grundkonfiguration hergestellt werden. Nicht genutzte Schnittstellen des Speichersystems müssen deaktiviert werden. Die Dateien zur Default-Konfiguration, zur vorgenommenen Grundkonfiguration und zur aktuellen Konfiguration sollten redundant und geschützt aufbewahrt werden.;SYS.1.8.A2 Sichere Grundkonfiguration von Speicherlösungen (B) Bevor eine Speicherlösung produktiv eingesetzt wird, MUSS sichergestellt sein, dass alle eingesetzten Softwarekomponenten und die Firmware aktuell sind. Danach MUSS eine sichere Grundkonfiguration hergestellt werden. Nicht genutzte Schnittstellen des Speichersystems MÜSSEN deaktiviert werden. Die Dateien zur Default-Konfiguration, zur vorgenommenen Grundkonfiguration und zur aktuellen Konfiguration SOLLTEN redundant und geschützt aufbewahrt werden.
Wie plane ich eine Speicherlösung systematisch?;Führen Sie eine Anforderungsanalyse durch (Performance, Kapazität). Erstellen Sie eine detaillierte Planung mit: Auswahl von Herstellern und Lieferanten, Entscheidung für Management-Systeme, Planung des Netzanschlusses, Infrastruktur-Planung und Integration in bestehende Prozesse.;"SYS.1.8.A7 Planung von Speicherlösungen (S) Bevor Speicherlösungen in einer Institution eingesetzt werden, SOLLTE eine Anforderungsanalyse durchgeführt werden. In der Anforderungsanalyse SOLLTEN unter anderem die Themen Performance und Kapazität betrachtet werden. Auf Basis der ermittelten Anforderungen SOLLTE dann eine detaillierte Planung für Speicherlösungen erstellt werden. Darin SOLLTEN folgende Punkte berücksichtigt werden:

• Auswahl von herstellenden Unternehmen und Liefernden,

• Entscheidung für oder gegen zentrale Verwaltungssysteme (Management-Systeme),

• Planung des Netzanschlusses,

• Planung der Infrastruktur sowie

• Integration in bestehende Prozesse."
Wie segmentiere ich ein SAN sicher?;Ein SAN sollte segmentiert werden. Es sollte ein Konzept erarbeitet werden, das die SAN-Ressourcen den jeweiligen Servern zuordnet. Anhand der Sicherheitsanforderungen und des Administrationsaufwands sollte entschieden werden, welche Segmentierung in welcher Implementierung, wie beispielsweise FC-SANs oder iSCSI-Speichernetze, eingesetzt werden soll. Die aktuelle Ressourcenzuordnung sollte mithilfe von Verwaltungswerkzeugen einfach und übersichtlich erkennbar sein. Die aktuelle Zoning-Konfiguration sollte dokumentiert werden, und diese Dokumentation sollte auch in Notfällen verfügbar sein.;SYS.1.8.A14 Absicherung eines SANs durch Segmentierung (S) Ein SAN SOLLTE segmentiert werden. Es SOLLTE ein Konzept erarbeitet werden, das die SANRessourcen den jeweiligen Servern zuordnet. Hierfür SOLLTE anhand der Sicherheitsanforderungen und des Administrationsaufwands entschieden werden, welche Segmentierung in welcher Implementierung (z. B. FC-SANs oder iSCSI-Speichernetze) eingesetzt werden soll. Die aktuelle Ressourcenzuordnung SOLLTE mithilfe von Verwaltungswerkzeugen einfach und übersichtlich erkennbar sein. Weiterhin SOLLTE die aktuelle Zoning-Konfiguration dokumentiert werden. Die Dokumentation SOLLTE auch in Notfällen verfügbar sein.
Was muss ich bei der Aussonderung von Speicherlösungen beachten?;Übertragen Sie alle Daten auf andere Speicherlösungen und planen Sie dafür eine Übergangsphase ein. Löschen Sie anschließend sicher alle Nutzdaten und Konfigurationsdaten. Entfernen Sie alle Verweise auf die außer Betrieb genommene Speicherlösung aus relevanten Dokumenten.;SYS.1.8.A19 Aussonderung von Speicherlösungen (S) Werden ganze Speicherlösungen oder einzelne Komponenten einer Speicherlösung nicht mehr benötigt, SOLLTEN alle darauf vorhandenen Daten auf andere Speicherlösungen übertragen werden. Hierfür SOLLTE eine Übergangsphase eingeplant werden. Anschließend SOLLTEN alle Nutzdaten und Konfigurationsdaten sicher gelöscht werden. Aus allen relevanten Dokumenten SOLLTEN alle Verweise auf die außer Betrieb genommene Speicherlösung entfernt werden.
Wie trenne ich Mandanten in Speicherlösungen bei erhöhtem Schutzbedarf?;Bei erhöhtem Schutzbedarf sollten Mandanten Speicherressourcen aus unterschiedlichen Speicherpools zugewiesen werden. Ein Speichermedium sollte nur einem Pool zugewiesen werden. LUNs aus einem Pool sollten nur einem Mandanten zugeordnet werden.;SYS.1.8.A21 Einsatz von Speicherpools zur Trennung von Mandanten (H) Mandanten SOLLTEN Speicherressourcen aus unterschiedlichen sogenannten Speicherpools zugewiesen werden. Dabei SOLLTE ein Speichermedium immer nur einem einzigen Pool zugewiesen werden. Die logischen Festplatten (LUNs), die aus einem solchen Pool generiert werden, SOLLTEN nur einem einzigen Mandanten zugeordnet werden.
Welche Verschlüsselung muss ich bei Speicherlösungen für erhöhten Schutzbedarf einsetzen?;Verschlüsseln Sie alle abgelegten Daten. Legen Sie fest, auf welchen Ebenen verschlüsselt wird: Data-in-Motion (Transportweg) und Data-at-Rest (gespeicherte Daten). Beachten Sie, dass Verschlüsselung auch bei Replikationen und Backup-Traffic relevant ist.;SYS.1.8.A23 Einsatz von Verschlüsselung für Speicherlösungen (H) Alle in Speicherlösungen abgelegten Daten SOLLTEN verschlüsselt werden. Es SOLLTE festgelegt werden, auf welchen Ebenen (Data-in-Motion und Data-at-Rest) verschlüsselt wird. Dabei SOLLTE beachtet werden, dass die Verschlüsselung auf dem Transportweg auch bei Replikationen und BackupTraffic relevant ist.
Wie stelle ich die Integrität der SAN-Fabric bei erhöhtem Schutzbedarf sicher?;Um die Integrität der SAN-Fabric sicherzustellen, SOLLTEN Protokolle mit zusätzlichen Sicherheitsmerkmalen eingesetzt werden. Bei den folgenden Protokollen SOLLTEN deren Sicherheitseigenschaften berücksichtigt und entsprechende Konfigurationen verwendet werden: Diffie Hellman Challenge Handshake Authentication Protocol (DH-CHAP), Fibre Channel Authentication Protocol (FCAP) und Fibre Channel Password Authentication Protocol (FCPAP).;"SYS.1.8.A24 Sicherstellung der Integrität der SAN-Fabric (H) Um die Integrität der SAN-Fabric sicherzustellen, SOLLTEN Protokolle mit zusätzlichen Sicherheitsmerkmalen eingesetzt werden. Bei den folgenden Protokollen SOLLTEN deren Sicherheitseigenschaften berücksichtigt und entsprechende Konfigurationen verwendet werden:

• Diffie Hellman Challenge Handshake Authentication Protocol (DH-CHAP),

• Fibre Channel Authentication Protocol (FCAP) und

• Fibre Channel Password Authentication Protocol (FCPAP)."
Wie erfolgt die Vererbung des Schutzbedarfs von Geschäftsprozessen und Anwendungen auf IT-Systeme, und welche Effekte müssen dabei berücksichtigt werden?;Der Schutzbedarf vererbt sich von oben nach unten (Geschäftsprozess/Anwendung → IT-System). Der Schutzbedarf eines IT-Systems ist mindestens so hoch wie der Schutzbedarf der Anwendungen, die darauf laufen. Dabei müssen das **Maximumprinzip** (der höchste Schutzbedarf bestimmt den Gesamtschutzbedarf), **Kumulationseffekte** (die Summe kleinerer Schäden kann zu einem höheren Gesamtschutzbedarf führen) und **Verteilungseffekte** (der Schutzbedarf kann durch Redundanzen oder die geringe Bedeutung einer Funktion reduziert werden) berücksichtigt werden. ;"8.2.2 Vorgehen bei der Schutzbedarfsfeststellung 
Der für diese Elemente ermittelte Schutzbedarf vererbt sich auf die für deren Verarbeitung genutzten Objekte, also Anwendungen, IT-Systeme, ICS- und sonstige Geräte, Räume und Kommunikationsverbindungen (Vererbung). Zur Ermittlung des Schutzbedarfs eines Objektes müssen die möglichen Schäden der relevanten Teilobjekte in ihrer Gesamtheit betrachtet werden. Beispielsweise müsste bei einem IT-System beleuchtet werden, welche Auswirkungen Schäden bei den darauf betriebenen Anwendungen und den damit verarbeiteten Informationen haben. Im Wesentlichen bestimmt der Schaden bzw. die Summe der Schäden mit den schwerwiegendsten Auswirkungen den Schutzbedarf eines Objektes (Maximumprinzip). Bei der Betrachtung der möglichen Schäden und ihrer Folgen muss auch beachtet werden, dass die verschiedenen betrachteten Objekte eines Informationsverbunds natürlich eng miteinander verzahnt sind. So kann z. B. eine IT-Anwendung Arbeitsergebnisse anderer Anwendungen als Input nutzen. Eine, für sich betrachtet, weniger bedeutende Anwendung A kann wesentlich an Wert gewinnen, wenn eine andere wichtige Anwendung B auf ihre Ergebnisse angewiesen ist. In diesem Fall muss der ermittelte Schutzbedarf der Anwendung B auch auf die Anwendung A übertragen werden. Handelt es sich dabei um Anwendungen verschiedener IT-Systeme, dann müssen Schutzbedarfsanforderun? gen des einen IT-Systems auch auf das andere übertragen werden (Beachtung von Abhängigkeiten). Werden mehrere Anwendungen bzw. Informationen auf einem IT-System (oder in einem Raum oder über eine Kommunikationsverbindung) verarbeitet, so ist zu überlegen, ob durch Kumulation meh? rerer (z. B. kleinerer) Schäden auf einem IT-System ein insgesamt höherer Gesamtschaden entstehen kann. Dann erhöht sich der Schutzbedarf des Objektes, also hier des IT-Systems, entsprechend (Kumulationseffekt).

Auch der umgekehrte Effekt kann eintreten. So ist es möglich, dass eine Anwendung einen hohen Schutzbedarf besitzt, ihn aber deshalb nicht auf ein betrachtetes IT-System überträgt, weil auf diesem IT-System nur unwesentliche Teilbereiche der Anwendung laufen. Hier ist der Schutzbedarf zu relativieren (Verteilungseffekt). Der Verteilungseffekt kann natürlich auch bei anderen Zielobjekten, wie beispielsweise Räumen, Gebäuden oder Kommunikationsverbindungen, auftreten. Beispiel: Der Verteilungseffekt tritt hauptsächlich bezüglich des Grundwertes der Verfügbarkeit auf. So kann bei redundanter Auslegung von IT-Systemen der Schutzbedarf der Einzelkomponenten nied? riger sein als der Schutzbedarf der Gesamtanwendung. Auch im Bereich der Vertraulichkeit sind Ver? teilungseffekte vorstellbar: Falls sichergestellt ist, dass ein Client nur unkritische Daten einer hochver? traulichen Datenbankanwendung abrufen kann, so besitzt der Client im Vergleich zum Datenbank? server unter Umständen einen geringeren Schutzbedarf. Ein Verteilungseffekt tritt häufig auf, wenn bei der Einrichtung oder dem Aufbau von Zielobjekten durch entsprechende Redundanzen bereits den Anforderungen an einen hohen Schutzbedarf Rechnung getragen wurde. Dies ist im Grunde ein Vorgriff auf Betrachtungen, die im Rahmen der Risiko? analyse erforderlich sind. Deshalb sollten im Rahmen der Schutzbedarfsfeststellung getroffene Ent? scheidungen sorgfältig dokumentiert werden."
